employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,year
100,Steven,King,steven.king@hotmail.com,5151234567,6-17-1987,4,24000,NULL,9,1987
101,Neena,Kochhar,neena.kochhar@hotmail.com,5151234568,9-21-1989,5,17000,100,9,1989
102,Lex,De Haan,lex.de haan@hotmail.com,5151234569,1-13-1993,5,27000,100,9,1993
103,Alexander,Hunold,alexander.hunold@yahoo.com,5904234567,01-03-90,9,9000,102,6,1990
104,Bruce,Ernst,bruce.ernst@yahoo.com,5904234568,5-21-1991,9,6000,103,6,1991
105,David,Austin,david.austin@yahoo.com,5904234569,6-25-1997,9,9800,103,6,1997
106,Valli,Pataballa,valli.pataballa@yahoo.com,5904234560,02-05-98,9,9800,103,6,1998
107,Diana,Lorentz,diana.lorentz@yahoo.com,5904235567,02-07-99,9,4200,103,6,1999
108,Nancy,Greenberg,nancy.greenberg@gmail.com,5151244569,8-17-1994,7,12000,101,10,1994
109,Daniel,Faviet,daniel.faviet@gmail.com,5151244169,8-16-1994,6,9000,108,10,1994
110,John,Chen,john.chen@gmail.com,5151244269,9-28-1997,6,8200,108,10,1997
111,Ismael,Sciarra,ismael.sciarra@gmail.com,5151244369,9-30-1997,6,7700,108,10,1997
112,Jose Manuel,Urman,jose manuel.urman@gmail.com,5151244469,03-07-98,6,7800,108,10,1998
113,Luis,Popp,luis.popp@gmail.com,5151244567,12-07-99,6,6900,108,10,1999
114,Den,Raphaely,den.raphaely@gmail.com,5151274561,12-07-94,14,11000,100,3,1994
115,Alexander,Khoo,alexander.khoo@gmail.com,5151274562,5-18-1995,13,3100,114,3,1995
116,Shelli,Baida,shelli.baida@gmail.com,5151274563,12-24-1997,13,2900,114,3,1997
117,Sigal,Tobias,sigal.tobias@gmail.com,5151274564,7-24-1997,13,2800,114,3,1997
118,Guy,Himuro,guy.himuro@gmail.com,5151274565,11-15-1998,13,2600,114,3,1998
119,Karen,Colmenares,karen.colmenares@gmail.com,5151274566,08-10-99,13,2500,114,3,1999
120,Matthew,Weiss,matthew.weiss@yahoo.com,6501231234,7-18-1996,19,8000,100,5,1996
121,Adam,Fripp,adam.fripp@yahoo.com,6501232234,04-10-97,19,8200,100,5,1997
122,Payam,Kaufling,payam.kaufling@yahoo.com,6501233234,05-01-95,19,7900,100,5,1995
123,Shanta,Vollman,shanta.vollman@yahoo.com,6501234234,10-10-97,19,6500,100,5,1997
126,Irene,Mikkilineni,irene.mikkilineni@yahoo.com,6501241224,9-28-1998,18,2700,120,5,1998
145,John,Russell,john.russell@gmail.com,NULL,10-01-96,15,14000,100,8,1996
146,Karen,Partners,karen.partners@gmail.com,NULL,01-05-97,15,13500,100,8,1997
176,Jonathon,Taylor,jonathon.taylor@gmail.com,NULL,3-24-1998,16,8600,100,8,1998
177,Jack,Livingston,jack.livingston@gmail.com,NULL,4-23-1998,16,8400,100,8,1998
178,Kimberely,Grant,kimberely.grant@gmail.com,NULL,5-24-1999,16,7000,100,8,1999
179,Charles,Johnson,charles.johnson@gmail.com,NULL,01-04-00,16,6200,100,8,2000
192,Sarah,Bell,sarah.bell@yahoo.com,6505011876,02-04-96,17,4000,123,5,1996
193,Britney,Everett,britney.everett@yahoo.com,6505012876,03-03-97,17,3900,123,5,1997
200,Jennifer,Whalen,jennifer.whalen@hotmail.com,5151234444,9-17-1987,3,4400,101,1,1987
201,Michael,Hartstein,michael.hartstein@hotmail.com,5151235555,2-17-1996,10,13000,100,2,1996
202,Pat,Fay,pat.fay@hotmail.com,6031236666,8-17-1997,11,6000,201,2,1997
203,Susan,Mavris,susan.mavris@hotmail.com,5151237777,06-07-94,8,6500,101,4,1994
204,Hermann,Baer,hermann.baer@hotmail.com,5151238888,06-07-94,12,10000,101,7,1994
205,Shelley,Higgins,shelley.higgins@hotmail.com,5151238080,06-07-94,2,12000,101,11,1994
206,William,Gietz,william.gietz@hotmail.com,5151238181,06-07-94,1,8300,205,11,1994
207,Michael,Hartstein,michael.hartstein1@hotmail.com,5151235555,2-17-1996,10,13001,100,2,1996
208,Pat,Fay,pat.fay1@hotmail.com,6031236666,8-17-1997,11,6001,201,2,1997
209,Susan,Mavris,susan.mavris1@hotmail.com,5151237777,06-07-94,8,6501,101,4,1994
210,Hermann,Baer,hermann.baer1@hotmail.com,5151238888,06-07-94,12,10001,101,7,1994
211,Shelley,Higgins,shelley.higgins1@hotmail.com,5151238080,06-07-94,2,12001,101,11,1994
212,William,Gietz,william.gietz1@hotmail.com,5151238181,06-07-94,1,8301,205,11,1994
